names,Frequency,count
Intel Core i7 5950HQ , 2.90GHz,10850
Intel Xeon E5 4640 , 2.40GHz,10807
Intel Xeon E3 1585 v5 , 3.50GHz,10797
Intel Core i7 1065G7 , 1.30GHz,10770
AMD Ryzen 5 PRO 3400G,,10767
Intel Core i5 8257U , 1.40GHz,10742
Intel Xeon D 1540 , 2.00GHz,10740
Intel Xeon E3 1270L v4 , 3.00GHz,10691
Intel Core i7 7700 , 3.60GHz,10686
Intel Xeon D 1548 , 2.00GHz,10679
Intel Xeon E5 2667 , 2.90GHz,10670
Intel Xeon W 2123 , 3.60GHz,10663
Intel Xeon Silver 4108 , 1.80GHz,10663
Intel Core i5 9500T , 2.20GHz,10624
Intel Core i5 8279U , 2.40GHz,10623
Intel Xeon E3 1280 v5 , 3.70GHz,10621
Intel Xeon E3 1575M v5 , 3.00GHz,10616
Intel Core i7 8706G , 3.10GHz,10539
Intel Xeon E3 1535M v6 , 3.10GHz,10538
Intel Xeon E3 1245 v6 , 3.70GHz,10533
Intel Core i3 9350KF , 4.00GHz,10526
Intel Xeon E5 2637 v4 , 3.50GHz,10512
Intel Xeon E3 1285 v4 , 3.50GHz,10510
Intel Xeon E3 1240 v6 , 3.70GHz,10472
Intel Xeon E3 1285 v3 , 3.60GHz,10458
Intel Xeon E5 2630 v2 , 2.60GHz,10378
Intel Core i5 8400H , 2.50GHz,10366
Intel Xeon E3 1275 v5 , 3.60GHz,10353
Intel Xeon E5 2450 , 2.10GHz,10332
Intel Xeon E3 1240 v5 , 3.50GHz,10317
Intel Xeon E3 1545M v5 , 2.90GHz,10313
Intel Xeon E5 1630 v4 , 3.70GHz,10310
Intel Core i7 4980HQ , 2.80GHz,10301
AMD Ryzen 5 PRO 3400GE,,10300
Intel Xeon E3 1270 v5 , 3.60GHz,10279
Intel Xeon E5 2650 , 2.00GHz,10265
Intel Xeon E5 1630 v3 , 3.70GHz,10228
Intel Xeon E3 1260L v5 , 2.90GHz,10218
Intel Xeon E5 2640 v2 , 2.00GHz,10213
Intel Xeon E3 1276 v3 , 3.60GHz,10209
AMD FX 9590 Eight Core,,10192
Intel Xeon E3 1245 v5 , 3.50GHz,10169
Intel Core i3 9320 , 3.70GHz,10144
Intel Xeon E3 1585L v5 , 3.00GHz,10135
AMD Ryzen 5 PRO 1500,,10133
Intel Xeon E 2224 , 3.40GHz,10128
Intel Xeon E5 2637 v3 , 3.50GHz,10117
Intel Xeon E3 1271 v3 , 3.60GHz,10117
AMD Ryzen 5 1500X,,10107
AMD Opteron 6380,,10081
Intel Core i7 4770K , 3.50GHz,10075
Intel Xeon E3 1275 v3 , 3.50GHz,10048
Intel Xeon E3 1281 v3 , 3.70GHz,10031
Intel Xeon E3 1241 v3 , 3.50GHz,10022
Intel Core i3 9300 , 3.70GHz,10018
Intel Xeon E3 1515M v5 , 2.80GHz,10016
Intel Core i7 6700 , 3.40GHz,10003
Intel Core i7 7920HQ , 3.10GHz,9991
Intel Core i7 4790 , 3.60GHz,9989
Intel Xeon E5 2620 v3 , 2.40GHz,9986
AMD Ryzen 5 PRO 2400G,,9984
Intel Xeon E3 1285L v3 , 3.10GHz,9981
Intel Core i5 9400T , 1.80GHz,9976
AMD Ryzen 5 3400G,,9973
Intel Core i5 8500T , 2.10GHz,9971
Intel Core i7 7820HK , 2.90GHz,9954
Intel Xeon E5 1620 v4 , 3.50GHz,9927
Intel Xeon E3 1270 v3 , 3.50GHz,9923
Intel Xeon E3 1286 v3 , 3.70GHz,9899
Intel Xeon E 2124G , 3.40GHz,9891
Intel Xeon E5 2650L v2 , 1.70GHz,9880
Intel Core i5 9300H , 2.40GHz,9878
Intel Core i7 8705G , 3.10GHz,9877
Intel Xeon E3 1246 v3 , 3.50GHz,9864
Intel Xeon E 2224G , 3.50GHz,9863
Intel Core i7 4771 , 3.50GHz,9861
Intel Core i7 4960HQ , 2.60GHz,9856
Intel Core i7 4770R , 3.20GHz,9830
Intel Core i7 5850EQ , 2.70GHz,9817
Intel Core i7 995X , 3.60GHz,9791
AMD Opteron 6287 SE,,9789
Intel Xeon E3 1230 v6 , 3.50GHz,9784
Intel Core i7 4770 , 3.40GHz,9781
Intel Core i7 8709G , 3.10GHz,9780
Intel Core i7 4940MX , 3.10GHz,9776
Intel Xeon E3 1280 v3 , 3.60GHz,9774
Intel Xeon E3 1230 v5 , 3.40GHz,9746
Intel Xeon E5 1620 v3 , 3.50GHz,9743
Intel Xeon E5 2630L v3 , 1.80GHz,9727
Intel Core i7 4820K , 3.70GHz,9720
Intel Core i7 6770HQ , 2.60GHz,9718
AMD Ryzen 5 2500X,,9704
Intel Xeon E3 1240 v3 , 3.40GHz,9677
Intel Xeon E3 1505M v6 , 3.00GHz,9667
Intel Xeon E3 1290 V2 , 3.70GHz,9653
Intel Xeon D 1531 , 2.20GHz,9643
AMD EPYC 3201,,9634
Intel Xeon E5 2658 , 2.10GHz,9632
Intel Xeon E3 1231 v3 , 3.40GHz,9631
Intel Xeon E3 1245 v3 , 3.40GHz,9591
Intel Core i7 4790S , 3.20GHz,9557
Intel Core i7 10510U , 1.80GHz,9555
Intel Xeon E5 4610 , 2.40GHz,9552
Intel Core i7 6920HQ , 2.90GHz,9549
Intel Core i5 8400T , 1.70GHz,9528
Intel Core i7 3770K , 3.50GHz,9515
Intel Core i5 1035G7 , 1.20GHz,9511
Intel Xeon E5 1620 v2 , 3.70GHz,9500
Intel Xeon E3 1286L v3 , 3.20GHz,9495
Intel Core i5 8300H , 2.30GHz,9472
Intel Xeon E3 1270 V2 , 3.50GHz,9469
Intel Core i5 7640X , 4.00GHz,9461
AMD FX 9370 Eight Core,,9460
Intel Core i7 5850HQ , 2.70GHz,9459
Intel Xeon E3 1280 V2 , 3.60GHz,9445
Intel Xeon E 2124 , 3.30GHz,9444
Intel Core i7 4930MX , 3.00GHz,9444
Intel Xeon E3 1275 V2 , 3.50GHz,9435
Intel Xeon E5 2640 , 2.50GHz,9420
Intel Xeon E5 2628L v2 , 1.90GHz,9405
AMD Opteron 6344,,9372
Intel Core i7 4910MQ , 2.90GHz,9353
Intel Core i7 4870HQ , 2.50GHz,9353
Intel Core i7 4770S , 3.10GHz,9348
Intel Xeon E3 1230 v3 , 3.30GHz,9327
AMD Ryzen 5 2400G,,9324
Intel Xeon E5 4617 , 2.90GHz,9313
Intel Core i7 7700T , 2.90GHz,9311
Intel Xeon E3 1535M v5 , 2.90GHz,9306
Intel Core i7 4860HQ , 2.40GHz,9301
Intel Xeon E5 2440 v2 , 1.90GHz,9290
Intel Core i7 3770 , 3.40GHz,9277
Intel Core i7 7820HQ , 2.90GHz,9248
Intel Xeon E5 4620 , 2.20GHz,9248
Intel Core i3 8350K , 4.00GHz,9238
Intel Xeon E5 4607 v2 , 2.60GHz,9234
Intel Xeon E5 2637 v2 , 3.50GHz,9224
Intel Xeon E5 2440 , 2.40GHz,9221
AMD Opteron 6376,,9212
Intel Xeon E3 1265L v3 , 2.50GHz,9204
Intel Core i7 3940XM , 3.00GHz,9160
Intel Xeon E3 1240 V2 , 3.40GHz,9155
Intel Core i7 7820EQ , 3.00GHz,9144
Intel Xeon E3 1245 V2 , 3.40GHz,9130
Intel Core i7 6820HK , 2.70GHz,9124
AMD Opteron 6282 SE,,9116
AMD Opteron 6378,,9094
Intel Xeon E5 2630L v2 , 2.40GHz,9088
Intel Core i7 4790T , 2.70GHz,9074
Intel Xeon E5 1620 , 3.60GHz,9068
Intel Xeon E5 2430 v2 , 2.50GHz,9061
Intel Xeon E3 1265L v4 , 2.30GHz,9060
Intel Core i7 4850HQ , 2.30GHz,9056
Intel Core i7 990X , 3.47GHz,9055
Intel Core i5 7600K , 3.80GHz,9048
AMD FX 8370 Eight Core,,9047
AMD Ryzen 5 2400GE,,9027
Intel Core i5 1035G1 , 1.00GHz,9000
Intel Core i7 6700T , 2.80GHz,9000
Intel Core i7 3820 , 3.60GHz,8987
Intel Xeon E5 2623 v3 , 3.00GHz,8987
Intel Core i7 3920XM , 2.90GHz,8981
Intel Core i7 4900MQ , 2.80GHz,8971
Intel Xeon W3690 , 3.47GHz,8967
Intel Core i7 4770HQ , 2.20GHz,8961
Intel Xeon X5679 , 3.20GHz,8958
AMD FX 8350 Eight Core,,8958
Intel Xeon E3 1505M v5 , 2.80GHz,8955
Intel Xeon E5 2448L v2 , 1.80GHz,8954
Intel Core i5 8305G , 2.80GHz,8947
Intel Core i3 9100 , 3.60GHz,8936
Intel Xeon E5 2630 , 2.30GHz,8928
Intel Xeon W3680 , 3.33GHz,8906
Intel Core i7 3770S , 3.10GHz,8902
Intel Xeon E3 1275L v3 , 2.70GHz,8901
AMD Opteron 6276,,8889
Intel Core i3 9100F , 3.60GHz,8887
AMD Ryzen 7 3750H,,8881
AMD Ryzen 7 PRO 2700U,,8877
Intel Xeon E3 1230 V2 , 3.30GHz,8869
Intel Core i7 8565U , 1.80GHz,8863
Intel Xeon E5 4610 v3 , 1.70GHz,8853
Intel Core i5 1035G4 , 1.10GHz,8819
Intel Core i7 8665U , 1.90GHz,8815
Intel Core i7 4760HQ , 2.10GHz,8793
Intel Xeon X5690 , 3.47GHz,8788
Intel Core i3 9300T , 3.20GHz,8777
Intel Xeon E3 1290 , 3.60GHz,8768
Intel Core i7 7700HQ , 2.80GHz,8766
Intel Core i7 3840QM , 2.80GHz,8763
Intel Core i7 6820HQ , 2.70GHz,8762
Intel Xeon E5 2420 v2 , 2.20GHz,8750
Intel Core i7 980X , 3.33GHz,8747
Intel Core i7 8665UE , 1.70GHz,8731
Intel Core i5 10210U , 1.60GHz,8722
Intel Core i3 8300 , 3.70GHz,8700
Intel Xeon E3 1268L v5 , 2.40GHz,8695
Intel Core i7 8650U , 1.90GHz,8693
Intel Core i7 2700K , 3.50GHz,8689
Intel Xeon E5 1428L v2 , 2.20GHz,8679
Intel Core i7 6700TE , 2.40GHz,8674
Intel Core i7 4810MQ , 2.80GHz,8652
Intel Core i7 6820EQ , 2.80GHz,8630
AMD Ryzen 7 PRO 3700U,,8629
Intel Core i5 7600 , 3.50GHz,8622
Intel Xeon Silver 4112 , 2.60GHz,8611
Intel Core i7 4770T , 2.50GHz,8601
Intel Xeon E5 2620 v2 , 2.10GHz,8600
AMD Ryzen Embedded V1756B,,8559
Intel Core i3 8100B , 3.60GHz,8544
Intel Core i7 980 , 3.33GHz,8534
AMD Ryzen 3 PRO 3200G,,8528
AMD Ryzen Embedded V1807B,,8528
Intel Xeon E5 2623 v4 , 2.60GHz,8506
AMD Ryzen 7 2800H,,8498
Intel Xeon E5 2650L , 1.80GHz,8483
Intel Xeon E5 2643 , 3.30GHz,8449
AMD Ryzen 5 PRO 2400GE,,8447
Intel Core i7 4800MQ , 2.70GHz,8446
Intel Xeon D 1537 , 1.70GHz,8445
Intel Xeon D 1539 , 1.60GHz,8443
Intel Core i7 2600K , 3.40GHz,8434
AMD Ryzen 7 3780U,,8427
Intel Xeon E3 1280 , 3.50GHz,8416
Intel Core i5 8365U , 1.60GHz,8411
Intel Core i7 3820QM , 2.70GHz,8404
AMD Ryzen 5 PRO 3500U,,8396
AMD Ryzen 5 1400,,8368
AMD Ryzen 5 2600H,,8366
Intel Core i7 970 , 3.20GHz,8356
Intel Xeon X5680 , 3.33GHz,8354
AMD Ryzen 5 3550H,,8350
Intel Core i7 5700HQ , 2.70GHz,8347
AMD Ryzen 3 2300X,,8335
Intel Core i7 3740QM , 2.70GHz,8298
Intel Xeon E5 2450L , 1.80GHz,8261
Intel Xeon E3 1270 , 3.40GHz,8254
AMD Ryzen 3 PRO 3200GE,,8250
Intel Core i7 8550U , 1.80GHz,8249
Intel Core i7 5700EQ , 2.60GHz,8239
Intel Xeon D 1528 , 1.90GHz,8210
Intel Core i7 3770T , 2.50GHz,8204
Intel Core i7 4750HQ , 2.00GHz,8202
AMD Ryzen 5 PRO 2500U,,8202
Intel Core i7 2600 , 3.40GHz,8183
Intel Core i7 5675C , 3.10GHz,8164
Intel Xeon D 2123IT , 2.20GHz,8150
Intel Core i5 8350U , 1.70GHz,8137
Intel Core i5 5675C , 3.10GHz,8135
Intel Core i7 6700HQ , 2.60GHz,8127
Intel Core i7 3720QM , 2.60GHz,8124
Intel Xeon E3 1275 , 3.40GHz,8122
Intel Core i7 4722HQ , 2.40GHz,8093
Intel Core i5 6600K , 3.50GHz,8059
Intel Xeon D 1559 , 1.50GHz,8055
Intel Xeon E3 1245 , 3.30GHz,8041
Intel Xeon E5 2630L , 2.00GHz,8041
AMD Ryzen 3 PRO 2200G,,8040
AMD FX 8320 Eight Core,,8038
Intel Core i3 8300T , 3.20GHz,8032
AMD Ryzen 7 3700U,,8023
Intel Xeon W3670 , 3.20GHz,8021
Intel Core i5 8265U , 1.60GHz,8018
Intel Core i5 8365UE , 1.60GHz,8010
Intel Core i3 8100 , 3.60GHz,8005
AMD Ryzen 3 PRO 1300,,7994
Intel Xeon X5675 , 3.07GHz,7993
Intel Core i5 5675R , 3.10GHz,7991
Intel Core i7 4720HQ , 2.60GHz,7990
Intel Core i7 4710MQ , 2.50GHz,7983
Intel Core i5 7600T , 2.80GHz,7983
Intel Xeon E3 1240 , 3.30GHz,7975
Intel Xeon E3 1225 v6 , 3.30GHz,7958
Intel Core i5 7500 , 3.40GHz,7939
AMD Ryzen 3 3200G,,7919
Intel Xeon E5 2620 , 2.00GHz,7905
Intel Core i7 4860EQ , 1.80GHz,7900
AMD Ryzen 5 3580U,,7896
Intel Xeon E3 1505L v6 , 2.20GHz,7887
AMD FX 8370E Eight Core,,7865
Intel Xeon E5 2608L v3 , 2.00GHz,7857
AMD Ryzen 5 3500U,,7852
Intel Xeon E3 1230 , 3.20GHz,7851
Intel Xeon E3 1268L v3 , 2.30GHz,7850
Intel Xeon E3 1225 v5 , 3.30GHz,7834
Intel Xeon E5 2430L , 2.00GHz,7834
Intel Xeon E 2104G , 3.20GHz,7825
AMD Opteron 6328,,7813
Intel Xeon X5670 , 2.93GHz,7807
Intel Core i5 4690K , 3.50GHz,7798
Intel Xeon E3 1240L v5 , 2.10GHz,7793
Intel Core i5 8265UC , 1.60GHz,7780
Intel Core i5 6600 , 3.30GHz,7776
Intel Xeon E3 1220 v5 , 3.00GHz,7772
AMD FX 8300 Eight Core,,7770
Intel Xeon E3 1235 , 3.20GHz,7759
Intel Xeon E3 1220 v6 , 3.00GHz,7752
AMD FX 8310 Eight Core,,7738
Intel Core i7 4700HQ , 2.40GHz,7733
Intel Core i7 4710HQ , 2.50GHz,7723
Intel Xeon E5 2430 , 2.20GHz,7695
Intel Core i7 4700MQ , 2.40GHz,7690
Intel Core i5 4690 , 3.50GHz,7690
AMD Opteron 6238,,7673
AMD FX 8150 Eight Core,,7655
Intel Core i3 9100T , 3.10GHz,7650
Intel Core i5 8250U , 1.60GHz,7649
Intel Core i7 4785T , 2.20GHz,7641
Intel Core i5 4670K , 3.40GHz,7636
Intel Core i5 7440HQ , 2.80GHz,7626
Intel Xeon X5660 , 2.80GHz,7589
Intel Core i7 3630QM , 2.40GHz,7581
Intel Xeon E3 1226 v3 , 3.30GHz,7580
AMD FX 8320E Eight Core,,7579
AMD Ryzen 3 1300X,,7565
Intel Xeon W 2104 , 3.20GHz,7551
Intel Core i7 4712HQ , 2.30GHz,7532
AMD Opteron 6366 HE,,7503
Intel Xeon E3 1240L v3 , 2.00GHz,7486
Intel Core i5 5575R , 2.80GHz,7484
AMD Ryzen 3 PRO 2200GE,,7477
Intel Core i5 4670 , 3.40GHz,7474
Intel Core i7 3615QE , 2.30GHz,7458
Intel Core i7 3610QM , 2.30GHz,7458
Intel Xeon E3 1265L V2 , 2.50GHz,7455
Intel Core i5 4690S , 3.20GHz,7439
Intel Xeon E5 1410 v2 , 2.80GHz,7430
Intel Core i5 4670R , 3.00GHz,7419
Intel Core i7 4702HQ , 2.20GHz,7417
AMD Ryzen 7 2700U,,7414
Intel Core i5 4670K CPT , 3.40GHz,7411
Intel Core i5 4670S , 3.10GHz,7399
Intel Core i7 3615QM , 2.30GHz,7389
AMD Ryzen 5 2500U,,7348
Intel Core i5 4590 , 3.30GHz,7343
AMD Ryzen 3 2200G,,7332
Intel Core i7 4765T , 2.00GHz,7309
Intel Core i3 8100T , 3.10GHz,7309
Intel Xeon X5650 , 2.67GHz,7290
Intel Core i5 6600T , 2.70GHz,7273
Intel Xeon E5 1607 v4 , 3.10GHz,7270
Intel Xeon E5 1410 , 2.80GHz,7265
Intel Core i5 6500 , 3.20GHz,7249
Intel Xeon E3 1225 v3 , 3.20GHz,7245
Intel Core i5 7400 , 3.00GHz,7234
Intel Xeon E3 1230L v3 , 1.80GHz,7231
Intel Core i7 2960XM , 2.70GHz,7224
Intel Core i7 4700EQ , 2.40GHz,7203
Intel Core i7 4712MQ , 2.30GHz,7203
Intel Core i5 3570K , 3.40GHz,7186
Intel Xeon E3 1220 v3 , 3.10GHz,7178
Intel Core i5 4570 , 3.20GHz,7156
Intel Core i5 3570 , 3.40GHz,7142
Intel Core i7 4702MQ , 2.20GHz,7133
Intel Core i5 6402P , 2.80GHz,7104
Intel Core i7 2600S , 2.80GHz,7093
AMD Ryzen Embedded V1605B,,7087
Intel Core i5 4590S , 3.00GHz,7077
AMD Ryzen 3 PRO 1200,,7075
Intel Xeon E5 2420 , 1.90GHz,7063
AMD Ryzen 3 PRO 2300U,,7063
Intel Xeon E5 1607 v3 , 3.10GHz,7029
AMD FX 6350 Six Core,,7023
Intel Core i7 2920XM , 2.50GHz,6998
Intel Xeon W 2102 , 2.90GHz,6981
Intel Xeon D 1521 , 2.40GHz,6980
AMD Ryzen 3 2200GE,,6976
Intel Xeon E3 1225 V2 , 3.20GHz,6976
Intel Core i5 3550 , 3.30GHz,6966
Intel Xeon X5687 , 3.60GHz,6962
AMD FX 6330 Six Core,,6954
Intel Core i7 2860QM , 2.50GHz,6949
Intel Xeon Platinum 8151 , 3.40GHz,6947
Intel Core i5 7500T , 2.70GHz,6938
Intel Core i7 3632QM , 2.20GHz,6927
Intel Xeon E5 2609 v4 , 1.70GHz,6925
Intel Core i5 3550S , 3.00GHz,6916
Intel Xeon Bronze 3106 , 1.70GHz,6890
Intel Xeon L5639 , 2.13GHz,6869
Intel Xeon E5649 , 2.53GHz,6869
AMD Ryzen 3 PRO 3300U,,6840
Intel Core i5 4570S , 2.90GHz,6836
Intel Core i7 3612QM , 2.10GHz,6818
Intel Core i5 6440HQ , 2.60GHz,6805
AMD Ryzen 3 1200,,6796
AMD Opteron 6220,,6785
Intel Core i5 4570R , 2.70GHz,6776
Intel Core i7 2840QM , 2.40GHz,6766
AMD Opteron 4386,,6761
Intel Xeon X5677 , 3.47GHz,6755
Intel Core i5 6400 , 2.70GHz,6754
AMD Opteron 6272,,6748
Intel Xeon E3 1220 V2 , 3.10GHz,6733
Intel Core i7 4770TE , 2.30GHz,6732
Intel Core i5 3570S , 3.10GHz,6729
Intel Core i5 3470 , 3.20GHz,6726
Intel Core i5 4460 , 3.20GHz,6725
Intel Core i5 7300HQ , 2.50GHz,6717
Intel Core i7 3612QE , 2.10GHz,6712
Intel Xeon E5 2648L , 1.80GHz,6698
Intel Core i7 3635QM , 2.40GHz,6677
Intel Core i5 2550K , 3.40GHz,6672
AMD Opteron 4284,,6660
Intel Core i7 2820QM , 2.30GHz,6644
Intel Core i7 985 , 3.47GHz,6641
AMD FX 8120 Eight Core,,6641
Intel Xeon E5 2430L v2 , 2.40GHz,6627
Intel Core i5 3475S , 2.90GHz,6617
Intel Core i3 7350K , 4.20GHz,6593
Intel Atom C3958 , 2.00GHz,6586
Intel Core i5 6500TE , 2.30GHz,6580
Intel Core i7 2760QM , 2.40GHz,6554
Intel Core i5 4690T , 2.50GHz,6547
Intel Core i7 3610QE , 2.30GHz,6544
Intel Core i5 3450 , 3.10GHz,6534
Intel Core i5 4440 , 3.10GHz,6519
Intel Core i7 6822EQ , 2.00GHz,6501
Intel Core i5 2500K , 3.30GHz,6488
Intel Core i7 7567U , 3.50GHz,6465
Intel Xeon E3 1235L v5 , 2.00GHz,6462
Intel Xeon X5672 , 3.20GHz,6461
Intel Xeon E5 1603 v4 , 2.80GHz,6454
Intel Core i5 4460S , 2.90GHz,6431
Intel E3000 , 3.40GHz,2767
Intel Celeron G3930T , 2.70GHz,2766
AMD Opteron 1356,,2765
AMD Athlon II X3 455,,2765
AMD A10 5745M APU,,2764
Intel Pentium G2100T , 2.60GHz,2763
AMD PRO A6 7350B,,2759
Intel Xeon L5335 , 2.00GHz,2756
Intel Pentium G2020 , 2.90GHz,2753
AMD A8 7410 APU,,2749
Intel Celeron G1820 , 2.70GHz,2749
Intel Pentium 1403 , 2.60GHz,2742
Intel Xeon X3210 , 2.13GHz,2740
Intel Pentium G860 , 3.00GHz,2737
AMD Phenom II X4 B15e,,2736
AMD Phenom II X3 B73,,2735
AMD A6 7470K,,2727
Intel Core i7 620M , 2.67GHz,2718
Intel Core i3 4030U , 1.90GHz,2717
AMD PRO A6 9500E,,2717
AMD Athlon II X4 605e,,2716
AMD Phenom X4 Quad Core GP 9830,,2715
AMD Phenom 9750B Quad Core,,2709
AMD A6 3600 APU,,2707
AMD Phenom II X940 Quad Core,,2695
Intel Core i5 2557M , 1.70GHz,2694
AMD Phenom X4 Quad Core GP 9930,,2690
Intel Core i3 540 , 3.07GHz,2685
Intel Xeon E5504 , 2.00GHz,2680
Intel Celeron G3900E , 2.40GHz,2679
AMD Opteron 3320 EE,,2675
AMD A6 7310 APU,,2673
AMD Phenom II X3 720,,2666
AMD A8 4500M APU,,2665
Intel Pentium G850 , 2.90GHz,2664
AMD A8 PRO 7150B APU,,2655
Intel Core M 5Y10 , 0.80GHz,2653
AMD Phenom II N830 3+1,,2652
AMD Phenom II X920 Quad Core,,2650
AMD Phenom II X3 715,,2649
Intel Celeron J4105 , 1.50GHz,2642
AMD Opteron 2380,,2640
AMD Phenom 9650 Quad Core,,2635
Intel Core i3 2350M , 2.30GHz,2631
AMD Opteron 1354,,2630
AMD A6 PRO 7400B,,2621
Intel Core i3 2348M , 2.30GHz,2621
AMD Athlon II X3 450,,2621
AMD A6 6420B APU,,2612
AMD A8 3550MX APU,,2610
AMD Athlon 5350 APU,,2609
AMD A10 4655M APU,,2605
AMD Phenom 9450e Quad Core,,2599
Intel Pentium G2010 , 2.80GHz,2599
AMD Athlon II X4 6400e,,2594
Intel Celeron G3900TE , 2.30GHz,2591
Intel Pentium G645 , 2.90GHz,2589
Intel Core i7 2630UM , 1.60GHz,2584
Intel Core i5 580M , 2.67GHz,2582
AMD A8 5545M APU,,2582
Intel Core i5 560M , 2.67GHz,2578
Intel Celeron G1620 , 2.70GHz,2576
AMD Phenom 9600B Quad Core,,2575
AMD A8 6410 APU,,2575
AMD Athlon X3 435,,2574
AMD Athlon II X3 445,,2573
Intel Celeron G1830 , 2.80GHz,2568
AMD Athlon II X3 440,,2567
Intel Core i3 530 , 2.93GHz,2564
Intel Pentium G3220T , 2.60GHz,2561
Intel Pentium G840 , 2.80GHz,2559
Intel Celeron G1840T , 2.50GHz,2554
AMD A4 6250J APU,,2553
Intel Xeon X5270 , 3.50GHz,2553
Intel Core i7 610E , 2.53GHz,2544
Intel Core i3 2328M , 2.20GHz,2544
AMD Phenom 9550 Quad Core,,2544
AMD A9 9430,,2540
AMD A9 9410,,2539
Intel Atom C3558 , 2.20GHz,2538
AMD A4 7210 APU,,2529
Intel Core i3 2330M , 2.20GHz,2528
Intel Core2 Quad Q9000 , 2.00GHz,2525
Intel Pentium G640 , 2.80GHz,2519
AMD Phenom FX 5000 Quad Core,,2517
AMD PRO A6 8500B,,2516
AMD Phenom II N970 Quad Core,,2515
Intel Xeon E5335 , 2.00GHz,2513
Intel Pentium 3825U , 1.90GHz,2508
Intel Core M 5Y51 , 1.10GHz,2508
AMD Embedded G Series GX 420GI Radeon R7E,,2508
Intel Core i3 4030Y , 1.60GHz,2507
AMD Athlon X4 605e,,2505
Intel Core i5 4300Y , 1.60GHz,2502
Pentium Dual Core E6000 , 3.46GHz,2501
Intel Celeron G1820T , 2.40GHz,2495
Intel Celeron G1630 , 2.80GHz,2493
AMD A9 9425,,2493
AMD GX 424CC SOC,,2491
Intel Celeron G1610 , 2.60GHz,2488
Intel Pentium G2030T , 2.60GHz,2487
Intel Core i5 E 520 , 2.40GHz,2486
AMD Phenom II N950 Quad Core,,2483
Intel Core i7 2610UE , 1.50GHz,2481
AMD Athlon II X3 435,,2471
Intel Core i3 3227U , 1.90GHz,2468
AMD A6 6310 APU,,2467
AMD Athlon II X4 600e,,2465
Intel Pentium Silver N5000 , 1.10GHz,2456
Intel Xeon X5260 , 3.33GHz,2455
Intel Atom C3538 , 2.10GHz,2455
Intel Core i5 540M , 2.53GHz,2452
AMD Opteron 2354,,2450
AMD Phenom II X3 710,,2448
Intel Core i3 4005U , 1.70GHz,2446
Intel Core i3 4010U , 1.70GHz,2442
AMD A6 5200 APU,,2436
Intel Core i3 2310M , 2.10GHz,2432
Intel Xeon E3113 , 3.00GHz,2427
Intel Xeon E5240 , 3.00GHz,2424
Intel Celeron G555 , 2.70GHz,2422
Intel Pentium G2020T , 2.50GHz,2418
AMD A8 3510MX APU,,2414
Intel Xeon E7320 , 2.13GHz,2413
AMD GX 420CA SOC,,2412
AMD Embedded R Series RX 216GD,,2409
Intel Core i5 4200Y , 1.40GHz,2407
AMD A4 PRO 3340B,,2402
AMD Athlon X3 455,,2401
Intel Core i5 480M , 2.67GHz,2399
Intel Pentium 2030M , 2.50GHz,2398
Intel Core2 Duo E8600 , 3.33GHz,2397
Intel Xeon X5272 , 3.40GHz,2394
Intel Pentium G3320TE , 2.30GHz,2389
AMD PRO A6 8530B,,2388
AMD A6 6420K APU,,2388
Intel Core M 5Y10a , 0.80GHz,2387
Intel Core i3 2332M , 2.20GHz,2382
AMD Phenom II X4 8700e,,2377
Intel Core i5 4210Y , 1.50GHz,2375
Intel Core i3 2312M , 2.10GHz,2374
Intel Pentium G630 , 2.70GHz,2371
Intel Celeron 3965U , 2.20GHz,2369
Intel Core i5 520M , 2.40GHz,2367
Intel Xeon E5603 , 1.60GHz,2366
Intel Celeron 2000E , 2.20GHz,2365
AMD A8 3530MX APU,,2354
Intel Core2 Duo E8290 , 2.83GHz,2353
AMD A4 PRO 7300B APU,,2353
Intel Celeron G1620T , 2.40GHz,2353
AMD A9 9420,,2337
