names,Frequency,count
AMD A4 6320 APU,,2329
Intel Core i5 460M , 2.53GHz,2320
AMD Phenom 9350e Quad Core,,2320
Intel Core i5 2467M , 1.60GHz,2319
AMD Opteron 1352,,2316
AMD Athlon X3 445,,2314
AMD Athlon II X3 425,,2314
AMD A6 6400K APU,,2313
Intel Celeron 2970M , 2.20GHz,2312
AMD A4 7300 APU,,2312
Intel Core i5 4220Y , 1.60GHz,2307
AMD A9 9400,,2306
Intel Core i3 3217U , 1.80GHz,2304
AMD Phenom 9600 Quad Core,,2303
AMD Athlon X2 280,,2303
AMD Opteron X3216 APU,,2292
AMD E2 7110 APU,,2290
Intel Celeron G550 , 2.60GHz,2290
Intel Xeon E5320 , 1.86GHz,2288
Intel Pentium G620 , 2.60GHz,2287
AMD Athlon II X3 420e,,2285
AMD Opteron 2376,,2283
Intel Core2 Duo E8500 , 3.16GHz,2281
AMD A6 6400B APU,,2281
Intel Xeon L5310 , 1.60GHz,2274
AMD Phenom II N930 Quad Core,,2274
AMD PRO A4 3350B APU,,2274
Intel Xeon L3110 , 3.00GHz,2273
Intel Pentium 2020M , 2.40GHz,2273
Intel Celeron N4100 , 1.10GHz,2271
Intel Xeon L5240 , 3.00GHz,2271
Intel Pentium J4205 , 1.50GHz,2269
Intel Pentium 3560M , 2.40GHz,2269
Intel Core i5 4202Y , 1.60GHz,2262
Intel Pentium 3550M , 2.30GHz,2260
Intel Pentium G645T , 2.50GHz,2257
Intel Celeron G1610T , 2.30GHz,2256
AMD Opteron 8354,,2255
AMD Athlon X2 370K Dual Core,,2251
AMD A6 5400B APU,,2250
AMD Athlon II X3 415e,,2247
Intel Core i7 640LM , 2.13GHz,2247
AMD Opteron 2393 SE,,2246
Intel Core i5 520 , 2.40GHz,2244
AMD Phenom II X3 700e,,2242
Intel Xeon E3120 , 3.16GHz,2241
AMD Athlon II X3 425e,,2239
AMD Phenom X4 Quad Core GP 9600,,2235
Intel Celeron 1020E , 2.20GHz,2232
AMD Phenom II X3 705e,,2227
AMD A4 PRO 7350B,,2227
AMD A4 6300 APU,,2225
AMD Phenom II X2 565,,2225
Intel Pentium 4415Y , 1.60GHz,2222
Intel Core i5 3339Y , 1.50GHz,2215
Intel Core i3 4020Y , 1.50GHz,2214
Intel Xeon E5310 , 1.60GHz,2214
Intel Core2 Duo E8700 , 3.50GHz,2212
AMD Phenom X2 Dual Core GE 5560,,2206
AMD Phenom 9500 Quad Core,,2203
AMD A6 8500P,,2202
AMD A6 3430MX APU,,2200
Intel Celeron G540 , 2.50GHz,2197
Intel Core i5 750S , 2.40GHz,2197
AMD Athlon X3 425,,2191
AMD Phenom II X620 Dual Core,,2189
HP Hexa Core 2.0GHz,,2178
Intel Core i3 390M , 2.67GHz,2172
AMD A8 3520M APU,,2170
AMD A4 6210 APU,,2170
Intel Atom C2558 , 2.40GHz,2169
Intel Core i3 3217UE , 1.60GHz,2162
AMD A6 9220,,2160
AMD A6 5400K APU,,2160
Intel Xeon E3110 , 3.00GHz,2159
AMD A4 6300B APU,,2159
Intel Core i3 4012Y , 1.50GHz,2157
AMD A4 5300B APU,,2149
Intel Core2 Duo E8400 , 3.00GHz,2148
Intel Atom C2550 , 2.40GHz,2141
Intel Core2 Duo T9900 , 3.06GHz,2137
Intel Xeon L5320 , 1.86GHz,2135
Intel Pentium G6951 , 2.80GHz,2135
Intel Core i5 450M , 2.40GHz,2133
Intel Celeron G1820TE , 2.20GHz,2132
AMD A6 9225,,2130
AMD Athlon II X2 280,,2129
Intel Celeron G530 , 2.40GHz,2128
Intel Core2 Duo E8335 , 2.93GHz,2128
AMD Phenom II X2 B59,,2124
AMD A4 5050 APU,,2124
AMD A8 4555M APU,,2123
Intel Celeron G540T , 2.10GHz,2114
Intel Celeron J3455 , 1.50GHz,2114
AMD Phenom 9150e Quad Core,,2114
AMD Sempron 240,,2110
AMD Athlon 5150 APU,,2107
AMD Phenom II X2 511,,2104
AMD A6 9230,,2102
Intel Core i5 430M , 2.27GHz,2094
Intel Core i3 380M , 2.53GHz,2093
Intel Pentium G630T , 2.30GHz,2089
AMD Embedded G Series GX 224IJ Radeon R4E,,2088
AMD Phenom II P960 Quad Core,,2086
Intel Atom C2538 , 2.40GHz,2085
AMD Athlon II X2 B28,,2085
AMD Phenom 8850B Triple Core,,2080
AMD Athlon X3 440,,2078
AMD PRO A6 9500B,,2076
Intel Core2 Extreme X9100 , 3.06GHz,2076
AMD Phenom II X2 521,,2071
Intel Xeon E3 1220L v3 , 1.10GHz,2070
ZHAOXIN KaiXian ZX C+ C4700,2.0GHz,2069
AMD Phenom II X2 570,,2068
Intel Core2 Duo E8435 , 3.06GHz,2068
Intel Core i5 2537M , 1.40GHz,2064
AMD Phenom II X2 560,,2062
AMD A4 5100 APU,,2060
Intel Pentium 4405Y , 1.50GHz,2059
Intel Pentium G6960 , 2.93GHz,2059
AMD A6 3410MX APU,,2058
AMD Phenom 8750 Triple Core,,2058
Intel Pentium 4410Y , 1.50GHz,2050
AMD Phenom II X2 555,,2042
Intel Atom T5700 , 1.70GHz,2039
Intel Pentium N4200 , 1.10GHz,2036
AMD Phenom 8750B Triple Core,,2034
Intel Pentium G620T , 2.20GHz,2033
Intel Celeron G550T , 2.20GHz,2032
AMD A6 3500 APU,,2030
Intel Pentium B980 , 2.40GHz,2027
AMD Phenom 8450e Triple Core,,2026
AMD Phenom II X2 550,,2023
AMD Phenom II X640 Dual Core,,2021
AMD A4 5300 APU,,2019
Intel Core2 Duo P9700 , 2.80GHz,2015
Intel Core i3 370M , 2.40GHz,2014
AMD Athlon II X3 400e,,2009
AMD A6 3420M APU,,2004
Intel Core2 Duo T9800 , 2.93GHz,2003
AMD A4 9125,,2001
AMD Phenom II N870 Triple Core,,2000
AMD Athlon II X3 405e,,2000
AMD Phenom X4 Quad Core GP 9530,,1994
Intel Core2 Duo E8300 , 2.83GHz,1989
AMD Phenom 8650 Triple Core,,1986
Intel Celeron 2950M , 2.00GHz,1984
AMD A8 3500M APU,,1980
Intel Pentium G640T , 2.40GHz,1979
Intel Celeron 4205U , 1.80GHz,1977
AMD Athlon II X2 270,,1975
Intel Pentium E6800 , 3.33GHz,1974
Intel Pentium J2900 , 2.41GHz,1973
AMD A10 Micro 6700T APU,,1970
Intel Core i7 610 , 2.53GHz,1969
AMD Phenom 8850 Triple Core,,1968
Intel Pentium 3805U , 1.90GHz,1965
AMD A6 9220C,,1960
Intel Core2 Duo E7600 , 3.06GHz,1959
AMD GX 415GA SOC,,1956
Intel Xeon 5160 , 3.00GHz,1956
Intel Core2 Duo E8235 , 2.80GHz,1955
AMD R 460L APU,,1954
Intel Core i7 620LM , 2.00GHz,1954
AMD A6 5357M APU,,1953
Intel Pentium B970 , 2.30GHz,1953
AMD A4 9120,,1949
Intel Celeron 3765U , 1.90GHz,1948
Intel Core2 Duo E6850 , 3.00GHz,1945
AMD Athlon II X2 250e,,1939
Intel Core i3 330E , 2.13GHz,1935
Intel Celeron 3955U , 2.00GHz,1934
AMD Phenom II N850 Triple Core,,1934
Intel Pentium N3540 , 2.16GHz,1932
Intel Pentium E6700 , 3.20GHz,1932
AMD Athlon X2 340 Dual Core,,1932
AMD Phenom X3 8550,,1931
Intel Core2 Duo T9600 , 2.80GHz,1927
AMD Phenom II X2 B55,,1926
AMD Phenom 8600B Triple Core,,1924
AMD Opteron 2224 SE,,1919
AMD A4 5000 APU,,1918
AMD Phenom II X2 545,,1918
Intel Celeron 3865U , 1.80GHz,1918
AMD E2 6110 APU,,1917
Intel Pentium J3710 , 1.60GHz,1913
Intel Pentium N3530 , 2.16GHz,1911
AMD A4 4020 APU,,1909
AMD Athlon II X2 B26,,1906
AMD A6 5350M APU,,1906
Intel Xeon , 2.20GHz,1902
Intel Core i3 4010Y , 1.30GHz,1900
VIA QuadCore C4650,2.0GHz,1897
Intel Atom x7 Z8750 , 1.60GHz,1894
Intel Core2 Extreme X9000 , 2.80GHz,1894
AMD Athlon II X2 265,,1892
Intel Core i3 350M , 2.27GHz,1891
Intel Atom x7 Z8700 , 1.60GHz,1890
AMD Phenom II N830 Triple Core,,1890
AMD Phenom 8450 Triple Core,,1888
AMD A6 3400M APU,,1888
Intel Pentium E5800 , 3.20GHz,1887
Intel Core2 Duo E8200 , 2.66GHz,1882
AMD Athlon II X2 260,,1877
Intel Atom E3950 , 1.60GHz,1876
Intel Core2 Extreme X6800 , 2.93GHz,1875
Intel Core2 Duo E7500 , 2.93GHz,1874
Intel Atom E3940 , 1.60GHz,1867
Intel Core2 Duo P9600 , 2.66GHz,1866
AMD Phenom II P920 Quad Core,,1866
Intel Pentium N3710 , 1.60GHz,1864
AMD A4 5150M APU,,1864
Intel Pentium E6600 , 3.06GHz,1861
Intel Pentium G6950 , 2.80GHz,1855
Intel Celeron J1900 , 1.99GHz,1852
Intel Pentium B960 , 2.20GHz,1852
Intel Celeron 3867U , 1.80GHz,1852
Intel Celeron N3450 , 1.10GHz,1850
Intel Core2 Duo E8335 , 2.66GHz,1846
AMD Phenom II N660 Dual Core,,1844
Intel Xeon W3505 , 2.53GHz,1844
AMD Opteron 2222,,1843
AMD Athlon II X2 255,,1841
Intel Xeon 3075 , 2.66GHz,1840
Intel Pentium J2850 , 2.41GHz,1839
Intel Pentium N3700 , 1.60GHz,1836
Intel Atom x5 Z8550 , 1.44GHz,1835
AMD A6 Micro 6500T APU,,1834
AMD Phenom 9100e Quad Core,,1833
AMD Phenom II P940 Quad Core,,1831
AMD A4 4000 APU,,1831
Intel Core i3 2377M , 1.50GHz,1828
AMD A8 7050,,1824
AMD Phenom II X2 B57,,1823
Intel Xeon L5238 , 2.66GHz,1823
Intel Pentium 2127U , 1.90GHz,1821
Intel Celeron 1005M , 1.90GHz,1808
Intel Pentium N3520 , 2.16GHz,1807
AMD Athlon X2 235e,,1806
Intel Atom Z3795 , 1.60GHz,1804
Intel Core2 Duo T9550 , 2.66GHz,1803
Intel Core2 Extreme X7800 , 2.60GHz,1802
Intel Celeron J3160 , 1.60GHz,1798
AMD Athlon 64 FX 72,,1794
Intel Core2 Duo T9500 , 2.60GHz,1792
AMD A9 9420e,,1792
Intel Core i3 330M , 2.13GHz,1785
AMD Athlon 64 X2 Dual Core 6400+,,1784
Intel Xeon 3070 , 2.66GHz,1784
AMD Athlon II X2 B24,,1780
Intel Core i3 2375M , 1.50GHz,1773
Intel Core2 Duo E7400 , 2.80GHz,1769
Intel Pentium E6500 , 2.93GHz,1765
AMD A6 9210,,1764
AMD Embedded G Series GX 215JJ Radeon R2E,,1764
Intel Core2 Duo E8135 , 2.66GHz,1761
AMD Phenom X4 Quad Core GP 9500,,1757
Intel Xeon W3503 , 2.40GHz,1757
AMD Opteron 1222,,1757
AMD Phenom II P860 Triple Core,,1756
Intel Core2 Duo P9600 , 2.53GHz,1754
AMD Phenom X2 Dual Core GE 7060,,1752
Intel Core2 Duo P9500 , 2.53GHz,1750
AMD A6 9200,,1747
Intel Core i7 660UM , 1.33GHz,1745
AMD Athlon II X2 250,,1741
Intel Xeon 5150 , 2.66GHz,1740
Intel Core2 Duo P8800 , 2.66GHz,1739
Intel Pentium E5700 , 3.00GHz,1738
Intel Core2 Duo T9400 , 2.53GHz,1737
Intel Celeron 1037U , 1.80GHz,1736
Intel Pentium B940 , 2.00GHz,1727
Intel Core2 Duo E7300 , 2.66GHz,1727
Intel Celeron N2940 , 1.83GHz,1722
AMD Phenom II N640 Dual Core,,1721
Intel Core i3 2340UE , 1.30GHz,1719
Intel Celeron B840 , 1.90GHz,1719
Intel Celeron G530T , 2.00GHz,1717
AMD Athlon II X2 B22,,1715
AMD Sempron 3850 APU,,1715
Intel Pentium B950 , 2.10GHz,1715
AMD Phenom II P840 Triple Core,,1713
Intel Core2 Duo E6750 , 2.66GHz,1712
AMD Athlon 7850 Dual Core,,1710
Intel Core i7 680UM , 1.47GHz,1710
AMD Phenom II X2 B53,,1709
AMD Athlon II X2 245e,,1709
Intel Core i3 2367M , 1.40GHz,1708
AMD E2 9010,,1705
Intel Pentium E6300 , 2.80GHz,1704
Intel Celeron U1900 , 1.99GHz,1704
Intel Celeron 3755U , 1.70GHz,1702
AMD Opteron 2220,,1701
Intel Core i3 3229Y , 1.40GHz,1700
AMD Athlon II X2 240e,,1700
AMD Phenom X2 Dual Core GE 4060,,1697
Intel Atom x5 Z8500 , 1.44GHz,1696
AMD Athlon X2 250,,1696
Intel Core2 Duo E6700 , 2.66GHz,1693
Intel Core2 Extreme X7900 , 2.80GHz,1688
Intel Core2 Duo X7360 , 2.53GHz,1687
AMD Phenom II N620 Dual Core,,1686
Intel Celeron 3855U , 1.60GHz,1685
Intel Core i3 2365M , 1.40GHz,1682
Intel Core2 Duo SP9400 , 2.40GHz,1675
Intel Pentium 3556U , 1.70GHz,1674
Intel Celeron 1000M , 1.80GHz,1673
Intel Core2 Duo T9300 , 2.50GHz,1673
AMD Phenom 8600 Triple Core,,1673
Intel Pentium 3558U , 1.70GHz,1672
AMD Turion II Ultra Dual Core Mobile M640,,1670
AMD Athlon X2 240e,,1670
AMD Phenom 8250 Triple Core,,1668
AMD A6 7000 ,,1667
Intel Celeron G1101 , 2.27GHz,1667
Intel Celeron N3150 , 1.60GHz,1666
AMD A4 3420 APU,,1664
Intel Core i5 560UM , 1.33GHz,1664
Intel Celeron N3160 , 1.60GHz,1664
AMD QC 4000,,1663
AMD Athlon II X2 245,,1662
AMD Opteron 1220,,1661
Intel Celeron N2930 , 1.83GHz,1658
AMD Athlon II X2 235e,,1657
Intel Pentium 2117U , 1.80GHz,1655
Intel Celeron 3215U , 1.70GHz,1652
AMD E2 9000,,1650
AMD E2 3800 APU,,1645
AMD A6 4400M APU,,1643
AMD Athlon II X2 240,,1643
Intel Core i7 640UM , 1.20GHz,1638
Intel Xeon 5140 , 2.33GHz,1636
AMD Phenom 8250e Triple Core,,1635
Intel Pentium E5500 , 2.80GHz,1635
AMD Athlon II X2 220,,1635
AMD Phenom 8400 Triple Core,,1632
AMD Athlon II X2 4400e,,1632
AMD A6 9220e,,1629
AMD Athlon X2 255,,1627
Intel Core2 Duo E7200 , 2.53GHz,1624
Intel Core2 Duo P8700 , 2.53GHz,1624
Intel Celeron J1850 , 1.99GHz,1617
AMD A6 PRO 7050B APU,,1616
Athlon 64 Dual Core 5400+,,1614
AMD A4 4300M APU,,1613
AMD Athlon X2 240,,1611
Intel Celeron 3965Y , 1.50GHz,1607
Intel Celeron 2002E , 1.50GHz,1605
Intel Pentium A1018 , 2.10GHz,1605
AMD Athlon 64 X2 Dual Core 6000+,,1603
AMD Phenom II P820 Triple Core,,1602
Intel Xeon 5133 , 2.20GHz,1598
Intel Core2 Duo T7800 , 2.60GHz,1597
Intel Pentium E5400 , 2.70GHz,1597
AMD Opteron 2218,,1594
AMD A4 3400 APU,,1593
Intel Celeron 2980U , 1.60GHz,1593
Intel Xeon 5148 , 2.33GHz,1590
AMD Phenom II P650 Dual Core,,1579
Intel Atom x5 E8000 , 1.04GHz,1578
AMD R 260H APU,,1576
AMD Athlon 64 FX 62 Dual Core,,1573
AMD Athlon 7750 Dual Core,,1570
Intel Xeon 3085 , 3.00GHz,1570
AMD Turion II N530 Dual Core,,1567
AMD Athlon II X2 215,,1566
Intel Core2 Duo P9300 , 2.26GHz,1564
AMD Athlon II N370 Dual Core,,1559
Intel Core i3 2357M , 1.30GHz,1556
Intel Core2 Duo E6600 , 2.40GHz,1554
Intel Celeron J4005 , 2.00GHz,1551
Athlon 64 Dual Core 5600+,,1548
AMD A4 Micro 6400T APU,,1544
AMD Athlon X2 215,,1543
Intel Pentium E5300 , 2.60GHz,1540
AMD A4 9120C,,1539
AMD A6 1450 APU,,1539
Intel Core2 Duo P8600 , 2.40GHz,1536
AMD Sempron X2 190,,1534
AMD Turion II Ultra Dual Core Mobile M660,,1533
AMD Athlon II X2 225,,1526
AMD Turion II N550 Dual Core,,1521
Intel Xeon 3065 , 2.33GHz,1520
Intel Pentium N3510 , 1.99GHz,1519
Intel Xeon 3060 , 2.40GHz,1518
Intel Core2 Duo P7550 , 2.26GHz,1518
AMD Opteron 2216,,1518
AMD Athlon 64 X2 Dual Core 5800+,,1516
AMD Turion II P560 Dual Core,,1515
AMD E2 9030,,1515
Intel Celeron N2920 , 1.86GHz,1515
Intel Celeron B830 , 1.80GHz,1512
Intel Celeron 1017U , 1.60GHz,1508
Athlon 64 Dual Core 5000+,,1507
AMD Athlon II X2 4450e,,1504
Intel Atom E3845 , 1.91GHz,1504
Intel Celeron 3205U , 1.50GHz,1503
AMD A4 3300 APU,,1503
AMD PRO A4 4350B,,1502
Intel Core2 Duo E6550 , 2.33GHz,1497
AMD GX 412HC,,1497
AMD Athlon 64 FX 74,,1495
Intel Core2 Duo E8135 , 2.40GHz,1490
AMD Athlon II X2 210e,,1486
Intel Pentium E5200 , 2.50GHz,1486
AMD Athlon 64 X2 Dual Core 5600+,,1485
AMD Athlon II X2 4300e,,1483
Intel Core2 Duo E4700 , 2.60GHz,1481
AMD A6 5345M APU,,1476
AMD Athlon 7550 Dual Core,,1472
Intel Core2 Duo T8300 , 2.40GHz,1471
AMD Opteron 285,,1470
AMD Opteron 1218,,1468
AMD Opteron 290,,1464
Intel Core2 Duo P7570 , 2.26GHz,1455
Intel Celeron E3500 , 2.70GHz,1454
AMD TurionX2 Ultra DualCore Mobile ZM 85,,1454
Intel Core2 Duo P8400 , 2.26GHz,1453
Intel Core2 Duo E6540 , 2.33GHz,1451
AMD Athlon 64 X2 Dual Core 5400+,,1450
AMD Athlon 7450 Dual Core,,1449
AMD Opteron 1218 HE,,1444
Intel Celeron E3400 , 2.60GHz,1440
AMD Phenom X2 Dual Core GP 7730,,1435
AMD Turion II Ultra Dual Core Mobile M620,,1435
Intel Celeron 2957U , 1.40GHz,1432
AMD Turion II P540 Dual Core,,1432
Intel Celeron B820 , 1.70GHz,1430
Intel Celeron N4000 , 1.10GHz,1429
Intel Core2 Duo T7700 , 2.40GHz,1425
AMD Athlon X2 440,,1424
AMD Athlon Dual Core 5400B,,1420
Intel Core2 Duo P7450 , 2.13GHz,1416
AMD Opteron 2214 HE,,1415
AMD Sempron X2 198 Dual Core,,1413
Intel Celeron 2955U , 1.40GHz,1413
AMD Turion II Ultra Dual Core Mobile M600,,1406
Intel Xeon E5205 , 1.86GHz,1401
AMD Opteron 2220 SE,,1398
Intel Pentium 997 , 1.60GHz,1395
Intel Celeron B810 , 1.60GHz,1395
AMD Sempron X2 180,,1391
AMD Athlon Dual Core 4850B,,1391
Intel Celeron 1007U , 1.50GHz,1390
Intel Celeron E3300 , 2.50GHz,1389
Intel Core2 Duo E4600 , 2.40GHz,1384
Intel Celeron E3200 , 2.40GHz,1382
Intel Xeon E5503 , 2.00GHz,1381
AMD Athlon 64 X2 Dual Core 5200+,,1381
AMD E2 3200 APU,,1380
Intel Xeon E5502 , 1.87GHz,1378
Intel Core2 Duo T7600 , 2.33GHz,1378
Intel Core i5 540UM , 1.20GHz,1375
Intel Pentium P6300 , 2.27GHz,1372
Athlon 64 Dual Core 4800+,,1370
Intel Xeon 5130 , 2.00GHz,1366
Intel Celeron 2981U , 1.60GHz,1364
AMD Turion II Neo N54L Dual Core,,1363
Intel Celeron B815 , 1.60GHz,1363
VIA QuadCore L4700 , 1.2+ GHz,1363
AMD Turion II P520 Dual Core,,1360
Intel Core2 Duo E6420 , 2.13GHz,1359
Intel Core2 Duo T6600 , 2.20GHz,1358
Intel Core2 Duo T6670 , 2.20GHz,1358
AMD Opteron 2214,,1358
Intel Pentium P6200 , 2.13GHz,1351
Intel Core i5 520UM , 1.07GHz,1348
Intel Core2 Duo L9600 , 2.13GHz,1346
Athlon Dual Core 4850e,,1346
AMD Athlon Dual Core 5050e,,1345
AMD Opteron 185,,1342
Intel Core i5 430UM , 1.20GHz,1341
Intel Xeon L3406 , 2.27GHz,1338
AMD Turion II Dual Core Mobile M540,,1338
Intel Pentium T4500 , 2.30GHz,1332
Intel Core2 Extreme X7850 , 2.80GHz,1331
Intel Pentium E2220 , 2.40GHz,1330
Intel Celeron P4600 , 2.00GHz,1328
Intel Pentium P6100 , 2.00GHz,1327
AMD E2 9000e,,1324
Intel Core i7 620UM , 1.07GHz,1323
AMD Athlon II P360 Dual Core,,1318
AMD Athlon Dual Core 5200B,,1316
AMD Athlon Dual Core 4850e,,1314
AMD Athlon 64 X2 Dual Core 5000+,,1313
Intel Core2 Duo P7370 , 2.00GHz,1311
AMD Opteron 1216,,1311
AMD Athlon Dual Core 5000B,,1308
AMD Opteron 1212 HE,,1308
AMD Turion II Dual Core Mobile M520,,1306
AMD Athlon Dual Core 5600B,,1304
Intel Xeon 3050 , 2.13GHz,1300
AMD Opteron 1214 HE,,1299
Intel Celeron G470 , 2.00GHz,1298
Intel Core2 Duo T8100 , 2.10GHz,1297
AMD Turion X2 Ultra Dual Core Mobile ZM 86,,1295
AMD Turion II Dual Core Mobile M500,,1293
AMD Athlon 5000 Dual Core,,1292
Intel Celeron 877 , 1.40GHz,1291
AMD Opteron 275,,1291
Intel Core2 Duo P7350 , 2.00GHz,1289
Intel Core2 Duo E6400 , 2.13GHz,1288
AMD A4 3310MX APU,,1286
AMD A6 4455M APU,,1286
AMD Athlon 64 X2 4200+,,1285
Intel Core2 Duo T6500 , 2.10GHz,1285
AMD Athlon II X2 270u,,1285
AMD Athlon 64 FX 60 Dual Core,,1282
Intel Pentium T4400 , 2.20GHz,1281
Intel Celeron 887 , 1.50GHz,1280
Intel Atom Z3775D , 1.49GHz,1278
Intel Xeon 3040 , 1.86GHz,1278
Intel Celeron B800 , 1.50GHz,1277
Intel Atom Z3775 , 1.46GHz,1275
Intel Atom x5 Z8350 , 1.44GHz,1275
Celeron Dual Core T3500 , 2.10GHz,1274
Intel Core2 Duo T7500 , 2.20GHz,1271
Intel Core2 Duo E4500 , 2.20GHz,1270
AMD Opteron 2212,,1270
Intel Pentium 3560Y , 1.20GHz,1266
AMD Athlon 5200 Dual Core,,1266
VIA Eden X4 C4250 , 1.2+GHz,1262
Intel Core2 Duo T6570 , 2.10GHz,1258
Intel Celeron E1600 , 2.40GHz,1255
AMD GX 222GC SOC,,1255
AMD A4 3320M APU,,1253
AMD Athlon 64 X2 Dual Core 4800+,,1253
Intel Atom Z3770 , 1.46GHz,1252
AMD Athlon X2 Dual Core BE 2450,,1251
Intel Core2 Duo SL9400 , 1.86GHz,1251
AMD Athlon II P340 Dual Core,,1250
Intel Core2 Duo T7400 , 2.16GHz,1250
AMD Athlon II N350 Dual Core,,1249
Intel Xeon 5120 , 1.86GHz,1248
Intel Pentium P6000 , 1.87GHz,1243
AMD Opteron 180,,1236
AMD Turion X2 Ultra Dual Core Mobile ZM 85,,1234
Athlon 64 Dual Core 3800+,,1234
Intel Pentium T4300 , 2.10GHz,1231
AMD A4 3305M APU,,1227
Intel Core2 Duo T6400 , 2.00GHz,1226
Intel Pentium 987 , 1.50GHz,1222
AMD Athlon 64 X2 Dual Core 4600+,,1219
AMD A4 3330MX APU,,1218
AMD Athlon II P320 Dual Core,,1216
AMD Athlon X2 Dual Core BE 2400,,1213
AMD Phenom X4 Quad Core GS 5560,,1211
Intel Core2 Duo T5900 , 2.20GHz,1211
AMD Turion X2 Ultra Dual Core Mobile ZM 84,,1209
AMD GX 218GL SOC,,1207
Dual Core AMD Opteron 1220 SE,,1206
Intel Core2 Duo T5850 , 2.16GHz,1206
AMD Turion X2 Ultra Dual Core Mobile ZM 87,,1205
Athlon Dual Core 4450e,,1204
Intel Celeron N2910 , 1.60GHz,1203
Intel Pentium E2200 , 2.20GHz,1203
Celeron Dual Core T3300 , 2.00GHz,1201
Intel Core2 Duo T7300 , 2.00GHz,1194
AMD Opteron 1214,,1191
Intel Atom x5 Z8300 , 1.44GHz,1191
Intel Celeron 1047UE , 1.40GHz,1188
AMD A4 3300M APU,,1188
AMD Turion II Neo K685 Dual Core,,1186
Intel Core2 Duo E6320 , 1.86GHz,1185
AMD Phenom X2 Dual Core GP 5000,,1180
AMD A4 4355M APU,,1177
AMD Opteron 280,,1176
Intel Pentium E2210 , 2.20GHz,1174
VIA QuadCore U4650 , 1.0+ GHz,1173
Intel Celeron 867 , 1.30GHz,1173
Celeron Dual Core T3100 , 1.90GHz,1172
AMD Opteron 1216 HE,,1172
AMD Opteron 270,,1170
Intel Celeron E1500 , 2.20GHz,1168
AMD Athlon Dual Core 4450B,,1168
Intel Core2 Duo T7200 , 2.00GHz,1168
AMD Opteron 175,,1167
AMD Turion 64 X2 Mobile TL 68,,1162
Intel Atom E3840 , 1.91GHz,1162
Intel Core i3 380UM , 1.33GHz,1159
Intel Core2 Duo E4400 , 2.00GHz,1158
Athlon 64 Dual Core 4200+,,1156
Intel Celeron J3355 , 2.00GHz,1155
AMD Athlon II N330 Dual Core,,1154
Intel Pentium T4200 , 2.00GHz,1151
Intel Core2 Duo T5870 , 2.00GHz,1149
AMD Turion X2 Dual Core Mobile RM 77,,1149
Intel Pentium 977 , 1.40GHz,1148
Intel Celeron 857 , 1.20GHz,1146
AMD Athlon 64 X2 Dual Core 4400+,,1145
AMD Turion 64 X2 Mobile TL 66,,1141
AMD Athlon II Dual Core M320,,1141
AMD E2 3000 APU,,1140
Intel Pentium 967 , 1.30GHz,1139
Intel Core2 Duo U9600 , 1.60GHz,1129